,EntryID,Reaction,Buffer,ECNumber,CellularLocation,UniProtKB_AC,Tissue,Enzyme Variant,Enzymename,Organism,Temperature,pH,Activator,Cofactor,Inhibitor,KeggReactionID,KineticMechanismType,Other Modifier,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Pathway,Product,PubMedID,Publication,Rate Equation,SabioReactionID,Substrate
2,41280,Formate = Formate,"[150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris, 150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris]",-,"[extracellular, intracellular, plasma membrane]",P53986,Ehrlich ascites tumor cell,wildtype, ,Mus musculus,25.0,7.4, , , , ,unknown, ,rate const., ,0.001016667, ,1.666667E-5,s^(-1), ,Formate,7818477.0,"Carpenter L, Halestrap AP: The kinetics, substrate and inhibitor specificity of the lactate transporter of Ehrlich-Lettre tumour cells studied with the intracellular pH indicator BCECF., Biochem J 1994 (304) , 751-60",Vmax*S/(Km+S+kdiff*S),12483,Formate
3,41280,Formate = Formate,"[150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris, 150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 5 mM HEPES, 3.3 mM Tris]",-,"[extracellular, intracellular, plasma membrane]",P53986,Ehrlich ascites tumor cell,wildtype, ,Mus musculus,25.0,7.4, , , , ,unknown, ,Vmax, ,0.0005016667, ,9.483333E-5,M*s^(-1), ,Formate,7818477.0,"Carpenter L, Halestrap AP: The kinetics, substrate and inhibitor specificity of the lactate transporter of Ehrlich-Lettre tumour cells studied with the intracellular pH indicator BCECF., Biochem J 1994 (304) , 751-60",Vmax*S/(Km+S+kdiff*S),12483,Formate
4,41308,Formate = Formate,"[150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 10 mM HEPES, 150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 10 mM HEPES]",-,"[intracellular, plasma membrane, extracellular]",P53987,hepatocyte,wildtype, ,Rattus norvegicus,25.0,7.4, , , , ,Michaelis-Menten, ,Vmax, ,0.00066, ,3.65E-4,M*s^(-1), ,Formate,8557697.0,"Jackson VN, Halestrap AP: The kinetics, substrate, and inhibitor specificity of the monocarboxylate (lactate) transporter of rat liver cells determined using the fluorescent intracellular pH indicator, 2',7'-bis(carboxyethyl)-5(6)-carboxyfluorescein, J Biol Chem 1996 (271) , 861-8",Vmax*S/(Km+S),12483,Formate
5,41308,Formate = Formate,"[150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 10 mM HEPES, 150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 10 mM HEPES]",-,"[intracellular, plasma membrane, extracellular]",P53987,hepatocyte,wildtype, ,Rattus norvegicus,25.0,7.4, , , , ,Michaelis-Menten, ,Km,Formate,0.126,0.163,-,M, ,Formate,8557697.0,"Jackson VN, Halestrap AP: The kinetics, substrate, and inhibitor specificity of the monocarboxylate (lactate) transporter of rat liver cells determined using the fluorescent intracellular pH indicator, 2',7'-bis(carboxyethyl)-5(6)-carboxyfluorescein, J Biol Chem 1996 (271) , 861-8",Vmax*S/(Km+S),12483,Formate
6,41308,Formate = Formate,"[150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 10 mM HEPES, 150 mM Na+, 5 mM K+, 150 mM Cl-, 1 mM sulfate, 1 mM Ca2+, 1 mM phosphate, 3.3 mM MOPS, 10 mM HEPES]",-,"[intracellular, plasma membrane, extracellular]",P53987,hepatocyte,wildtype, ,Rattus norvegicus,25.0,7.4, , , , ,Michaelis-Menten, ,concentration,Formate, , ,-,-, ,Formate,8557697.0,"Jackson VN, Halestrap AP: The kinetics, substrate, and inhibitor specificity of the monocarboxylate (lactate) transporter of rat liver cells determined using the fluorescent intracellular pH indicator, 2',7'-bis(carboxyethyl)-5(6)-carboxyfluorescein, J Biol Chem 1996 (271) , 861-8",Vmax*S/(Km+S),12483,Formate
0,49358,D-Fructose = D-Fructose, ,-,"[extracellular, cytoplasm, unknown]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,Km,D-Fructose,0.0002, ,-,M,Starch and Sucrose metabolism,D-Fructose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax1*Fruex/(Km1Fruex*(1+Fru/Ki1Fru)+Fruex),13415,D-Fructose
1,49358,D-Fructose = D-Fructose, ,-,"[extracellular, cytoplasm, unknown]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,concentration,D-Fructose,0.005, ,-,M,Starch and Sucrose metabolism,D-Fructose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax1*Fruex/(Km1Fruex*(1+Fru/Ki1Fru)+Fruex),13415,D-Fructose
2,49358,D-Fructose = D-Fructose, ,-,"[extracellular, cytoplasm, unknown]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,concentration,D-Fructose,0.001, ,-,M,Starch and Sucrose metabolism,D-Fructose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax1*Fruex/(Km1Fruex*(1+Fru/Ki1Fru)+Fruex),13415,D-Fructose
3,49358,D-Fructose = D-Fructose, ,-,"[extracellular, cytoplasm, unknown]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,volume, ,1.0, ,-,l,Starch and Sucrose metabolism,D-Fructose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax1*Fruex/(Km1Fruex*(1+Fru/Ki1Fru)+Fruex),13415,D-Fructose
4,49358,D-Fructose = D-Fructose, ,-,"[extracellular, cytoplasm, unknown]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,Vmax, ,4.766667e-06, ,-,M*s^(-1),Starch and Sucrose metabolism,D-Fructose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax1*Fruex/(Km1Fruex*(1+Fru/Ki1Fru)+Fruex),13415,D-Fructose
5,49358,D-Fructose = D-Fructose, ,-,"[extracellular, cytoplasm, unknown]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,Km,D-Fructose,0.001, ,-,M,Starch and Sucrose metabolism,D-Fructose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax1*Fruex/(Km1Fruex*(1+Fru/Ki1Fru)+Fruex),13415,D-Fructose
0,2870,D-Glucose = D-Glucose,"[ 1 M HClO4, 70 µl silicone, 1-3 mg protein/ml (cell suspension)]",-,"[intracellular, extracellular, membrane]", ,liver,wildtype, ,Rattus norvegicus,20.0,-, , , , ,unknown, ,Km,D-Glucose,0.03, ,-,M,Glycolysis/Gluconeogenesis,D-Glucose,856580.0,"Baur H, Heldt HW: Transport of hexoses across the liver-cell membrane, Eur J Biochem 1977 (74) , 397-403",unknown,7002,D-Glucose
1,2870,D-Glucose = D-Glucose,"[ 1 M HClO4, 70 µl silicone, 1-3 mg protein/ml (cell suspension)]",-,"[intracellular, extracellular, membrane]", ,liver,wildtype, ,Rattus norvegicus,20.0,-, , , , ,unknown, ,Vmax, ,1.8333330000000002e-06, ,-,mol*s^(-1)*g^(-1),Glycolysis/Gluconeogenesis,D-Glucose,856580.0,"Baur H, Heldt HW: Transport of hexoses across the liver-cell membrane, Eur J Biochem 1977 (74) , 397-403",unknown,7002,D-Glucose
2,2870,D-Glucose = D-Glucose,"[ 1 M HClO4, 70 µl silicone, 1-3 mg protein/ml (cell suspension)]",-,"[intracellular, extracellular, membrane]", ,liver,wildtype, ,Rattus norvegicus,20.0,-, , , , ,unknown, ,concentration,D-Glucose,0.3, ,-,M,Glycolysis/Gluconeogenesis,D-Glucose,856580.0,"Baur H, Heldt HW: Transport of hexoses across the liver-cell membrane, Eur J Biochem 1977 (74) , 397-403",unknown,7002,D-Glucose
3,24770,D-Glucose = D-Glucose,"[ 0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml,  0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml]",-,"[intracellular, extracellular, unknown]", ,-,wildtype, ,Lactococcus lactis subsp. lactis,30.0,7.0, , , , ,Michaelis-Menten, ,Km,D-Glucose,0.002, ,-,M,Glycolysis/Gluconeogenesis,D-Glucose,17521452.0,"Papagianni M, Avramidis N, Filiousis G: Glycolysis and the regulation of glucose transport in Lactococcus lactis spp. lactis in batch and fed-batch culture, Microb Cell Fact 2007 (6) , 1-13",Vmax*S/(Km+S),7002,D-Glucose
4,24770,D-Glucose = D-Glucose,"[ 0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml,  0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml]",-,"[intracellular, extracellular, unknown]", ,-,wildtype, ,Lactococcus lactis subsp. lactis,30.0,7.0, , , , ,Michaelis-Menten, ,concentration,D-Glucose,1e-06,0.1,-,M,Glycolysis/Gluconeogenesis,D-Glucose,17521452.0,"Papagianni M, Avramidis N, Filiousis G: Glycolysis and the regulation of glucose transport in Lactococcus lactis spp. lactis in batch and fed-batch culture, Microb Cell Fact 2007 (6) , 1-13",Vmax*S/(Km+S),7002,D-Glucose
5,24770,D-Glucose = D-Glucose,"[ 0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml,  0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml]",-,"[intracellular, extracellular, unknown]", ,-,wildtype, ,Lactococcus lactis subsp. lactis,30.0,7.0, , , , ,Michaelis-Menten, ,Vmax, ,0.0017833329999999998, ,-,mol*s^(-1)*g^(-1),Glycolysis/Gluconeogenesis,D-Glucose,17521452.0,"Papagianni M, Avramidis N, Filiousis G: Glycolysis and the regulation of glucose transport in Lactococcus lactis spp. lactis in batch and fed-batch culture, Microb Cell Fact 2007 (6) , 1-13",Vmax*S/(Km+S),7002,D-Glucose
6,24771,D-Glucose = D-Glucose,"[ 0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml,  0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml]",-,"[intracellular, unknown, extracellular]", ,-,wildtype, ,Lactococcus lactis subsp. lactis,30.0,7.0, , , , ,Michaelis-Menten, ,concentration,D-Glucose,0.0275,0.055,-,M,Glycolysis/Gluconeogenesis,D-Glucose,17521452.0,"Papagianni M, Avramidis N, Filiousis G: Glycolysis and the regulation of glucose transport in Lactococcus lactis spp. lactis in batch and fed-batch culture, Microb Cell Fact 2007 (6) , 1-13",Vmax*S/(Km+S),7002,D-Glucose
7,24771,D-Glucose = D-Glucose,"[ 0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml,  0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml]",-,"[intracellular, unknown, extracellular]", ,-,wildtype, ,Lactococcus lactis subsp. lactis,30.0,7.0, , , , ,Michaelis-Menten, ,Km,D-Glucose,0.013999999999999999, ,-,M,Glycolysis/Gluconeogenesis,D-Glucose,17521452.0,"Papagianni M, Avramidis N, Filiousis G: Glycolysis and the regulation of glucose transport in Lactococcus lactis spp. lactis in batch and fed-batch culture, Microb Cell Fact 2007 (6) , 1-13",Vmax*S/(Km+S),7002,D-Glucose
8,24771,D-Glucose = D-Glucose,"[ 0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml,  0.1 M Tris-(hydroxymethyl)aminomethane maleate, 200 µg (dry weight) cells/ml]",-,"[intracellular, unknown, extracellular]", ,-,wildtype, ,Lactococcus lactis subsp. lactis,30.0,7.0, , , , ,Michaelis-Menten, ,Vmax, ,0.004633333, ,-,mol*s^(-1)*g^(-1),Glycolysis/Gluconeogenesis,D-Glucose,17521452.0,"Papagianni M, Avramidis N, Filiousis G: Glycolysis and the regulation of glucose transport in Lactococcus lactis spp. lactis in batch and fed-batch culture, Microb Cell Fact 2007 (6) , 1-13",Vmax*S/(Km+S),7002,D-Glucose
9,45328,D-Glucose = D-Glucose,[-],-,"[intracellular, extracellular, unknown]",P11167,beta-TC1,wildtype, ,Rattus norvegicus,37.0,-, , , , ,unknown, ,Km,D-Glucose,0.0095, ,2E-3,M,Starch and Sucrose metabolism,D-Glucose,1747375.0,"Whitesell RR, Powers AC, Regen DM, Abumrad NA: Transport and metabolism of glucose in an insulin-secreting cell line, beta TC-1, Biochemistry 1991 (30) , 11560-6",-,7002,D-Glucose
10,45328,D-Glucose = D-Glucose,[-],-,"[intracellular, extracellular, unknown]",P11167,beta-TC1,wildtype, ,Rattus norvegicus,37.0,-, , , , ,unknown, ,concentration,D-Glucose,0.0,0.05,-,M,Starch and Sucrose metabolism,D-Glucose,1747375.0,"Whitesell RR, Powers AC, Regen DM, Abumrad NA: Transport and metabolism of glucose in an insulin-secreting cell line, beta TC-1, Biochemistry 1991 (30) , 11560-6",-,7002,D-Glucose
11,45328,D-Glucose = D-Glucose,[-],-,"[intracellular, extracellular, unknown]",P11167,beta-TC1,wildtype, ,Rattus norvegicus,37.0,-, , , , ,unknown, ,Vmax, ,0.0002533333, ,3.333333E-5,M*s^(-1),Starch and Sucrose metabolism,D-Glucose,1747375.0,"Whitesell RR, Powers AC, Regen DM, Abumrad NA: Transport and metabolism of glucose in an insulin-secreting cell line, beta TC-1, Biochemistry 1991 (30) , 11560-6",-,7002,D-Glucose
12,49359,D-Glucose = D-Glucose, ,-,"[extracellular, unknown, cytoplasm]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,Km,D-Glucose,0.0002, ,-,M,Starch and Sucrose metabolism,D-Glucose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax2*Glcex/(Km2Glcex*(1+Glc/Ki2Glc)+Glcex),7002,D-Glucose
13,49359,D-Glucose = D-Glucose, ,-,"[extracellular, unknown, cytoplasm]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,concentration,D-Glucose,0.005, ,-,M,Starch and Sucrose metabolism,D-Glucose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax2*Glcex/(Km2Glcex*(1+Glc/Ki2Glc)+Glcex),7002,D-Glucose
14,49359,D-Glucose = D-Glucose, ,-,"[extracellular, unknown, cytoplasm]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,volume, ,1.0, ,-,l,Starch and Sucrose metabolism,D-Glucose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax2*Glcex/(Km2Glcex*(1+Glc/Ki2Glc)+Glcex),7002,D-Glucose
15,49359,D-Glucose = D-Glucose, ,-,"[extracellular, unknown, cytoplasm]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,Km,D-Glucose,0.001, ,-,M,Starch and Sucrose metabolism,D-Glucose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax2*Glcex/(Km2Glcex*(1+Glc/Ki2Glc)+Glcex),7002,D-Glucose
16,49359,D-Glucose = D-Glucose, ,-,"[extracellular, unknown, cytoplasm]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,concentration,D-Glucose,0.001, ,-,M,Starch and Sucrose metabolism,D-Glucose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax2*Glcex/(Km2Glcex*(1+Glc/Ki2Glc)+Glcex),7002,D-Glucose
17,49359,D-Glucose = D-Glucose, ,-,"[extracellular, unknown, cytoplasm]", ,stem,wildtype, ,Saccharum officinarum,-,-, , , , ,Michaelis-Menten with product inhibition, ,Vmax, ,4.766667e-06, ,-,M*s^(-1),Starch and Sucrose metabolism,D-Glucose,11513743.0,"Rohwer JM, Botha FC: Analysis of sucrose accumulation in the sugar cane culm on the basis of in vitro kinetic data., Biochem J 2001 (358) , 437-45",vol*Vmax2*Glcex/(Km2Glcex*(1+Glc/Ki2Glc)+Glcex),7002,D-Glucose
18,53713,D-Glucose = D-Glucose,[-],-,"[membrane-bound, chloroplast, extracellular]",Q9LLE2,leaf,wildtype, ,Spinacia oleracea,20.0,-, , , , ,Michaelis-Menten, ,Km,D-Glucose,0.0193, ,-,M,Starch and Sucrose metabolism,D-Glucose,10810150.0,"Weber A, Servaites JC, Geiger DR, Kofler H, Hille D, Gröner F, Hebbeker U, Flügge UI: Identification, purification, and molecular cloning of a putative plastidic glucose translocator, Plant Cell 2000 (12) , 787-802",Vmax*A/(Km+A),7002,D-Glucose
